Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
paradise lost,"Action, Adventure, RPG, Casual, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
the elder scrolls v: skyrim vr,RPG,Нет описания,Mature,Высокая,Нет данных
"warhammer 40,000: rites of war",Strategy,Нет описания,Teen,Низкая,Нет данных
cobi treasure deluxe,Casual,Нет описания,Все возрастные группы,Низкая,Нет данных
soul gambler,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
brain / out,"Action, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
peggle,"Arcade, Puzzle",Нет описания,Everyone,Высокая,Нет данных
in other waters,"Adventure, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
wildfire,"Action, Adventure, Strategy, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
the technomancer,"Action, RPG",Нет описания,Mature,Средняя,Нет данных
europa universalis ii,Strategy,Нет описания,Everyone,Низкая,Нет данных
telling lies,"Adventure, Simulation, Indie",Нет описания,Mature,Высокая,Нет данных
desperados: wanted dead or alive,"Action, Strategy",Нет описания,Teen,Высокая,Нет данных
hexen ii,"Action, Shooter",Нет описания,Все возрастные группы,Низкая,Нет данных
men of war: red tide,Strategy,Нет описания,Mature,Высокая,Нет данных
talisman: prologue,"RPG, Strategy, Board Games, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
post mortem,"Action, Adventure",Нет описания,Mature,Средняя,Нет данных
postal redux,"Action, Shooter, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
command & conquer remastered collection,Strategy,Нет описания,Teen,Высокая,Нет данных
dropsy,"Adventure, Indie, Puzzle",Нет описания,Teen,Высокая,Нет данных
primordia,"Adventure, RPG, Indie",Нет описания,Everyone 10+,Средняя,Нет данных
fifa 10,Sports,Нет описания,Everyone,Высокая,Нет данных
holy potatoes! a weapon shop?!,"Action, RPG, Simulation, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
the inner world,"Adventure, Family, Indie",Нет описания,Teen,Средняя,Нет данных
rollercoaster tycoon: deluxe,"Strategy, Simulation",Нет описания,Everyone 10+,Низкая,Нет данных
blue fire,"Action, Adventure, Indie, Platformer",Нет описания,Все возрастные группы,Средняя,Нет данных
in sound mind,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
still there,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
darksburg,"Action, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
spellforce 2: faith in destiny,"RPG, Strategy",Нет описания,Все возрастные группы,Средняя,Нет данных
resistance 2,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
hollow knight: silksong,"Action, Adventure, Indie, Platformer",Нет описания,Все возрастные группы,Низкая,Нет данных
astral chain,"Action, Adventure",Нет описания,Teen,Высокая,Нет данных
eliza,"Action, Indie",Нет описания,Mature,Высокая,Нет данных
uriel's chasm,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
splice,"Action, Adventure, Simulation, Casual, Indie, Puzzle",Нет описания,Everyone 10+,Средняя,Нет данных
bigscreen beta,Simulation,Нет описания,Все возрастные группы,Низкая,Нет данных
sportsfriends,"Sports, Arcade, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
out of space,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
might and magic clash of heroes,"RPG, Strategy, Puzzle",Нет описания,Все возрастные группы,Высокая,Нет данных
paranautical activity: deluxe atonement edition,"Action, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
destiny warriors rpg,"Action, Adventure, RPG, Strategy, Simulation, Sports, Racing, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
